Sizable,Feature:,Country of Origin,Main Stone,Diamond Color Grade,Number of Diamonds,Brand,Wholesale,Clasp,Main Stone Creation,Main Stone Shape,Length,Age Group,Width(s),Main Stone Treatment,Style,Necklace Lengths,Chain Width,Pendant Shape,Weight,Price,Certification,Customized,Seller Notes,Seller Warranty,Department,Weight :,Cut Grade,Condition,Handmade,Main Stone Depth,Shape,Main Stone Length,Metal,Necklace Length,Chain Type,Color,Main Stone Color,Setting Style,MPN,Metal Purity,Antique,Gender,Base Metal,Width,Name,Clasp Type,Jewelry Type,Men's Width,Vintage,Image,Features,Cut,Country/Region of Manufacture,Total Carat Weight,Chain Style,Material,Ear Area,Metal Type,Country of Manufacture,Unisex Widths,Main Stone Width,Description,Metal Stamp,Colored Diamond Intensity,Type,Length Inches,Item Length,Signed,Theme,Diamond Clarity Grade,Closure,Occasion,Length (inches),Modified Item,Metal Finish,Gemstone Clarity Grade,UPC,Secondary Stone,Era,Personalize
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$77.37 to $116.59,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Rope,Gold,,,,925,,,Sterling Silver,,Real 14k Gold Plated Over Solid 925 Sterling Silver Rope Chain 5.00mm,,,,,https://i.ebayimg.com/images/g/oooAAOSwKxBmEfXO/s-l300.webp,,,Italy,,,,,,,,,"✅Beautiful 14K Gold Over 925 Sterling Silver Rope Chain 5.00mm 

✅Available In 18'' 20'' 22'' 24'' 26'' 30''

✅This Is A Solid Genuine 925 Sterling Silver, Not Plated Or Filled 

✅All Sizes In Stock

✅Chain Lock: Lobster Lock

✅Made In Italy

✅Chain Width 5.00mm

✅Estimated Weights:
•18''   19.50 Grams
•20''   21.50 Grams
•22''   23.50 Grams
•24''   25.50 Grams
•26''   27.50 Grams
•30''  31.70 Grams

✅Free Velvet Gift Pouch

✅Free Shipping Within 24 Hours Of Payment

✅Please See Other Listings!",,,Necklace,,,,,,Lobster,,,,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,16 In Through 30 In,,,,"Chain, Choker",,,,,$31.47 to $54.79,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,16'' Inch Through 30'' Inch,Herringbone,14k Yellow Gold Plated,,,,925 parts per 1000,,Female Male Kids,925 Sterling Silver,,14K Yellow Gold Plated Over 925 Sterling Silver 3.5mm Herringbone Necklace Italy,,,,,https://i.ebayimg.com/images/g/yQIAAOSwFwJmGHA~/s-l300.webp,"Nickel-Free, Reversible, Stackable, Lobster Clasp",,Italy,,Herringbone,,,,,,,"Brand New Sterling Silver HerringBone Magic Chain Over 14K Yellow Gold Plated

Material: Genuine 925 Sterling Silver - Guaranteed

3.50mm Width

Flexible - High Quality

Anti-Tarnish Electroplated PLUX

Brand New

Made in Italy

Lock: Lobster Lock

Free Shipping In 24 Hours

Free Velvet Gift Pouch",,,Necklace,,16 In Through 30 In,,,,,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Father's Day, Graduation, Mother's Day, Valentine's Day",16 In Through 30 In,No,,,,,,
,,Italy,No Stone,,,Unbranded,No,,,,,,,,Chain,,,,,$39.21 to $55.11,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Rope,Gold,,,,925,,,Sterling Silver,,14k Gold Plated Over Solid 925 Sterling Silver Rope Chain 3.50mm,,,,,https://i.ebayimg.com/images/g/PYwAAOSwsDRmEfXk/s-l300.webp,,,Italy,,,,,,,,,"✅Beautiful 14K Gold Over 925 Sterling Silver Rope Chain 3.50mm 

✅Available In 18'' 20'' 22'' 24'' 26'' 30''

✅This Is A Solid Genuine 925 Chain, Not Plated Or Filled 

✅All Sizes In Stock

✅Chain Lock: Lobster Lock

✅Made In Italy

✅Chain Width 3.50mm

✅Estimated Weights:
16'' 6.00 Grams
18'' 6.80 Grams
20'' 7.50 Grams
22'' 8.00 Grams
24'' 8.70 Grams
26'' 9.30 Grams
30'' 10.70 Grams

✅Free Velvet Gift Pouch

✅Free Shipping Within 24 Hours Of Payment

✅Please See Other Listings!

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",,,Necklace,,,No,"Angels, Anime, Beach, Beauty, Family & Friends, Fashion & Costumes, Hip Hop, Love",,Lobster,,,,,,,,,No
,,Italy,No Stone,,,Oliver & Navy,,,,,16 Inch Through 30 Inch,,,,Chain,,,,,$72.22 to $132.21,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,16 Inch To 30 Inch,Herringbone,Gold,,,,925,,Female Male,Sterling Silver,,7mm Herringbone Chain Necklace 14K Yellow Gold Plated Over 925 Sterling Silver,,,,,https://i.ebayimg.com/images/g/I28AAOSwO4pm2x9h/s-l300.webp,Lobster Clasp,,Italy,,Herringbone,Sterling Silver,,,,,,"Brand New Sterling Silver HerringBone Magic Chain Over 14K Yellow Gold 

Material: Genuine 925 Sterling Silver - Guaranteed

16'' 18'' 20'' 22'' 24''

7mm Width 

Flexible - High Quality

Anti-Tarnish Electroplated PLUX 

Brand New 

Made in Italy

Lock: Lobster Lock

Estimated Weights:
16'' 18 Grams
18'' 21 Grams
20'' 24 Grams
22'' 27 Grams
24'' 30 Grams
30'' 35 Grams

Free Shipping In 24 Hours

Free Velvet Gift Pouch",,,Necklace,,,,,,,,Selectable,No,,,,,,
,,Italy,No Stone,,,Oliver & Navy,,,,,16'' 18'' 20'' 22'' 24'' 30'',,,,Chain,,,,,$30.64 to $90.59,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Herringbone,Gold,,,,925,,Female Male,Sterling Silver,,5.50mm Flexible Herringbone Chain Necklace 14K Yellow Gold Plated 925 Italy,,,,,https://i.ebayimg.com/images/g/hqoAAOSwbbBm2x~i/s-l300.webp,Lobster Clasp,,Italy,,Herringbone,,,,,,,"Brand New Sterling Silver HerringBone Magic Chain Over 14K Yellow Gold 

Material: Genuine 925 Sterling Silver - Guaranteed

7'' 8'' 9'' 10'' 16'' 18'' 20'' 22'' 24'' 30''

5.5mm Width 

Flexible - High Quality

Anti-Tarnish Electroplated PLUX 

Brand New 

Made in Italy

Lock: Lobster Lock

Estimated Weights:
16'' 8.00 Grams
18'' 9.00 Grams
20'' 10.00 Grams
22'' 11.00 Grams
24"" 12.00  Grams
30'' 15.00 Grams

Free Shipping In 24 Hours

Free Velvet Gift Pouch",,,Necklace,,16 In Through 30 In,,,,Lobster,,Selectable,No,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$89.99 to $139.99,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Herringbone,Silver,,,,925,,Unisex,Sterling Silver,,925 Sterling Silver 9mm Herringbone Necklace Italian Chain - All Sizes,,,,,https://i.ebayimg.com/images/g/kP0AAOSwbV1mUyci/s-l300.webp,"Nickel-Free, Reversible, Stackable",,Italy,,Herringbone,,,,,,,"GENUINE .925 STERLING SILVER - 9MM HERRINGBONE CHAIN 

PRICED BEST ON EBAY

Brand New - Italy Makes The Best Chains

Made In Italy 

HAS ANTI-TARNISH COATING

HEAVY CHAIN

LOBSTER LOCK

ESTIMATED WEIGHTS:
16'' 23 Grams
18'' 25 Grams
20'' 27 Grams
22'' 29 Grams
24'' 34 Grams
30'' 41 Grams

A fantastic piece sure to brighten up your wardrobe, this Magic Flexible Herringbone chain necklace is simply gorgeous.

FREE SHIPPING - Ships in 1 Business Day 



About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).",,,Necklace,,16 Inch Through 30 Inch,,Beauty,,Lobster,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Graduation",Selectable,No,,,,,,
,,Italy,No Stone,,,Unbranded,,Lobster Claw,,,"18"", 20"", 22"", 24"", 30"" Inch",,,,Chain,"16"", 18"", 20"", 22"", 24"", 30"" Inch",,,,$130.58 to $204.04,,,,,,,,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,,,,Sterling Silver,,Rope,Silver,,,,925,,,Sterling Silver,,925 Sterling Silver Diamond Cut Rope Chain 5mm Mens Necklace - Italy - All Sizes,,,5mm,,https://i.ebayimg.com/images/g/Cs0AAOSwGEtm4a15/s-l300.webp,Lobster Clasp,,Italy,,Rope,,,,,5mm,,"Beautiful 925 Sterling Silver Rope Chain Necklace
Diamond Cut Finish
Product Description:
✅100% GUARANTEED 925 Sterling Silver professionally tested and stamped 925  for Purity Authenticity
✅Guaranteed purity of 925 Sterling Silver , and NOT PLATED, NOT FILLED
✅Gender Neutral: Will look great on men and women
✅5mm
✅Diamond-Cut
✅Anti-Tarnish
✅Free Velvet Gift Pouch
✅Lobster Clasp
Product Specification:
✅ Sizes & Weights:
18'' 34 grams
20'' 38 grams
22'' 41 grams
24'' 45 grams
26'' 48 grams
30'' 56 grams
✅Certification: Stamped & Certified 925
✅Base Metal: Stamped 925
✅Material: 925 Sterling Silver
✅Country of Manufacture: Italy
✅Chain Style: Rope
✅Width: 5mm
Shipping:
✅Free Shipping: All items ship within 24 hours of payment 
Return Policy:
✅NO questions asked, Free 30-Day Return Policy because your satisfaction is our priority
·       Please contact us to initiate a return, we will guide you through the process.
·       If you’re not completely satisfied with your jewelry, please send it back to us (including all original packaging) within 30 days. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new) and will promptly issue a refund within 7 days.
·       In unlikely events your jewelry arrives damaged or broken please contact us, we will issue a full refund.

Please let us know if you need anything else or have any questions

Contact us:
Have Questions? Please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less.",,,Necklace,,,,,,Lobster,,,,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$64.05 to $96.10,,,,,Men,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Rope,Yellow,,,,925 Sterling Silver,,,Sterling Silver,,14k Yellow Gold Plated Over 925 Sterling Silver 3mm Rope Chain Necklace,,,,,https://i.ebayimg.com/images/g/togAAOSw0phmGHAt/s-l300.webp,,,Italy,,Rope,925 Sterling Silver,,,,,,"3mm 925 STERLING SILVER OVER YELLOW GOLD

Lock: Lobster

Anti-Tarnish - Electroplated with Real 14kt Gold  - Color will not fade

Genuine .925, NOT plated or filled

Made in Italy, Best Quality Chains

Estimated Weights:
18'' 9 Grams
20'' 10 Grams
22'' 11 Grams
24'' 12 Grams
30'' 15 Grams

Free: Gift Pouch - Velvet Finish

Free Shipping, We Ship Within 24hrs 

Please see other listings

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",,,Chain,,18&#39;&#39; Through 30&#39;&#39;,,,,Lobster,,,,,,,,,
,,Italy,No Stone,,,Oliver & Navy,,,,,16'' 18'' 20'' 24'' 26'' 28'' 30'',,,,Chain,,,,,$47.45 to $52.58,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Moon Cut,14k Yellow Gold Plated,,,,925,,,925 Sterling Silver,,14k Yellow Gold Plated Over 925 Sterling Silver Mooncut Bead Chain 2.5mm Italy,,,,,https://i.ebayimg.com/images/g/E2QAAOSwUnhmGHAz/s-l300.webp,Lobster Clasp,,Italy,,,925 Sterling Silver,,,,,,"2.500mm MOON CUT BEAD 
ANTI-TARNISH 14K Gold PLATED- COLOR WILL NOT FADE

Genuine 925 Sterling Silver, NOT Plated or Filled

ESTIMATED WEIGHTS
16'' - 6.3 Grams
18'' - 6.8 GRAMS
20'' - 7.6 Grams


MADE IN ITALY

BEAUTIFUL CHAIN FOR MEN & LADIES

Brand New

Free Velvet Gift Pouch

Free Shipping",,,Necklace,,16 Through 30 Inch,,Beauty,,,,Selectable,,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$39.99 to $46.99,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,16'' 18'' 20'',,Gold,,,,925 parts per 1000,,,Sterling Silver,,14K Yellow Gold-Plated Silver 925 1.5mm Italian Omega Chain Necklace,,,,,https://i.ebayimg.com/images/g/ab8AAOSw-ZFmUyZw/s-l300.webp,,,Italy,,Omega,,,,,,,"14k Yellow Gold Plated Over 925 Sterling Silver 1.5mm Omega Necklace

1.5mm

Made In Italy - Best Quality Chains

Specially Treated to Prevent Tarnish

Lobster Lock For Added Security

Beautiful For Men Or Women

Please Choose From:
16'' 18'' 20''

Estimated Weights:
16'' 6.80 Grams
18'' 7.70 Grams
20'' 8.30 Grams

Free Shipping Within 24 Hours",,,Chain,,,,,,Lobster,,Selectable,No,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,7'' 8'' 9'' 10'',,,,Chain,,,,,$26.81 to $30.31,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Herringbone,14k Gold Plated,,,,925,,,Sterling Silver,,14K Yellow Gold Plated Over 925 Sterling Silver 4.50mm Herringbone Bracelet,,,,,https://i.ebayimg.com/images/g/OTAAAOSwCf1mGHA-/s-l300.webp,"Nickel-Free, Reversible",,Italy,,,,,,,,,"Brand New Sterling Silver HerringBone Magic Chain Over 14K Yellow Gold Plated

4.5mm

Material: Genuine 925 Sterling Silver - Guaranteed

7'' 8'' 9'' 10''

Flexible - High Quality

Anti-Tarnish Electroplated PLUX

Brand New

Made in Italy

Lock: Lobster Lock

Estimated Weights:
3.5 To 4.5 Grams

Free Shipping In 24 Hours

Free Velvet Gift Pouch",,,Bracelet,,7'' 8'' 9'' 10'',,,,Lobster,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Father's Day, Graduation, Mother's Day, Valentine's Day",7'' 8'' 9'' 10'',No,,,,,,
,,Italy,No Stone,,,OliviaNY,,,,,"16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40",,,,Chain,,,,,$49.54 to $73.19,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Moon Cut,14K YELLOW GOLD PLATED,,,,925 parts per 1000,,,Sterling Silver,,14K YELLOW GOLD PLATED OVER 925 STERLING SILVER MOON CUT 2.00MM CHAIN NECKLACE,,,,,https://i.ebayimg.com/images/g/BDUAAOSw5QJmGHBC/s-l300.webp,Lobster Clasp,,Italy,,,925 Sterling Silver,,,,,,"2.5mm MOON CUT BEAD

Made In Italy

Lobster Lock

Anti-Tarnish - Real 14kt Electroplating 

Genuine 925 Sterling Silver, NOT Plated or Filled
Estimated Weights
16'' 4.3 Grams
18'' 4.8 Grams
20'' 5 Grams
22'' 5.7 Grams
24'' 6.3 Grams
26'' 6.8 Grams
30'' 7.9 Grams

BEAUTIFUL CHAIN FOR MEN & LADIES

Brand New

Free Velvet Gift Pouch

Free Shipping 

Please see other listings

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",,,Necklace,,16 Through 30 Inch,,Moon Chain,,Lobster,,"16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40",,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,7 Inch Through 30 Inch,,,,Chain,,,,4.50 Grams - 17.00 Grams,$30.77 to $76.95,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,7'' To 30'',Herringbone Snake,Silver,,,,925 parts per 1000,,,Sterling Silver,,925 Sterling Silver 6mm Herringbone Necklace Bracelet Italian Chain - All Sizes,Lobster,,,,https://i.ebayimg.com/images/g/5zMAAOSwgfZmGHAq/s-l300.webp,Lobster Clasp,,Italy,,Herringbone,,,,,,,"Brand New Sterling Silver HerringBone Magic Chain

Choose From Necklace, Anklet, Bracelet Lengths

6mm Width 

Flexible - High Quality

Anti-Tarnish Electroplated

Brand New 

Made in Italy

Lock: Lobster Lock

Estimated Weights:
7'' 4.5 Grams
8'' 5 Grams
9'' 5.50 Grams
10'' 6.00 Grams
16'' 9.5 Grams
18'' 10.5 Grams
20'' 11.5 Grams
22'' 12.5 Grams
24"" 13.5 Grams
30'' 17 Grams

Free Velvet Gift Pouch

Free Shipping - Ships within 24 Hours

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

About Olivia-NY:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",,,Chain,,All Sizes,,Sterling Silver Herringbone Chain,,,,7 Inch Through 30 Inch,No,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$260.75 to $380.53,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Rope,Gold,,,,925,,Male Female Unisex,Sterling Silver,,14k Yellow Gold Plated Over 925 Sterling Silver Rope Chain Mens Necklace 9mm,,,,,https://i.ebayimg.com/images/g/zbkAAOSw4IlnCVgA/s-l300.webp,"Nickel-Free, Reversible, Stackable, Diamond-Cut, Lobster Clasp",,Italy,,Rope Chain Necklace,925 Sterling Silver,,,,,,"Beautiful 14K Yellow Gold Plated Over 925 Sterling Silver Rope Chain

9mm

*Hollow Chain*, For Fraction Of The Price - Very Sturdy & Thick Looking

Solid 925 Sterling Silver Rope Chain Necklace. Plated with anti tarnish so the color will not fade! This stunning necklace is perfect to add to your jewelry collection and makes an amazing gift for boyfriend, husband or dad. Heavy duty with lobster lock for a very secure chain necklace. Add your favorite charm or wear alone.


SPECIFICATIONS :
• .925 Sterling Silver Solid Rope Chain
• Available In All Sizes
• Diamond-Cut
• Anti-Tarnish - Color Will Not Fade
• Genuine 925 Sterling Silver, not plated or filled- Guaranteed
• Nice On Men's & Ladies
• Lobster Lock, very secure and will hold it tight

Estimated Weights:
20'' 62 Grams
22'' 66 Grams
24'' 72 Grams
26'' 79 Grams
30'' 91 Grams

Arrives in a Velvet Gift Pouch and includes FREE SHIPPING to the USA",,,Necklace,,,,Rope Chain Necklace,,Lobster,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Father's Day, Graduation, Mother's Day, Valentine's Day",,No,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$28.06 to $43.92,,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,16 Inch Through 30 Inch,Paperclip,Gold,,,,925,,Unisex,Sterling Silver,,2.5mm Paperclip Link Chain Necklace 14K Yellow Gold Plated Silver 925 Italy,,,,,https://i.ebayimg.com/images/g/atcAAOSwIcdmUyae/s-l300.webp,"Nickel-Free, Reversible, Stackable",,Italy,,Paper Clips,,,,,,,"14k Gold Over 925 Sterling Silver Handmade Paper Clip Elongated Link Chain 2.5mm

Beautiful Chain

Paperclip Dimensions:
2.5mm X 7mm

Stunning necklace to add to your jewelry collection. Makes an amazing gift for anyone. Add your favorite charms or wear it alone.

Genuine 925 Sterling Silver - Made In Italy

All Links Are Soldered, Very Good Quality Finish

Lobster Lock For Added Security

Average Weight:
•16'' 5.4 Grams
•18'' 5.9 Grams
•20'' 6.5 Grams
•22'' 7.1 Grams
•24'' 7.5 Grams
•30'' 10.3 Grams

Arrives in a Velvet Gift Pouch and includes FREE SHIPPING to the USA",,,Necklace,,,,,,Lobster,,Selectable,No,,,,,,
,,Italy,No Stone,,,Oliver & Navy,,,,,7'' 8'' 9'' 10'',,,,Chain,,,,,$25.64 to $29.14,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Herringbone,Silver,,,,925,,,Sterling Silver,,"925 Sterling Silver 4.5mm Flexible Herringbone Bracelet, All Sizes, Italy",,,,,https://i.ebayimg.com/images/g/kqcAAOSwZDdmUyZo/s-l300.webp,,,Italy,,,,,,,,,"Brand New 925 Sterling Silver HerringBone Magic Chain  

4.5mm

Material: Genuine 925 Sterling Silver - Guaranteed

7'' 8'' 9'' 10''

Flexible - High Quality

Anti-Tarnish Electroplated PLUX

Brand New

Made in Italy

Lock: Lobster Lock

Estimated Weights:
 3.5 To 4.5 Grams


Free Shipping In 24 Hours

Free Velvet Gift Pouch",,,Bracelet,,"7,8,9,10",,,,Lobster,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Graduation",7'' 8'' 9'' 10'',No,,,,,,
,,Italy,No Stone,,,Unbranded,,,,,,,,,Chain,,,,,$37.99 to $52.99,Certified 925 Sterling Silver,,,,,,,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,Sterling Silver,,Rope,Silver,,,,925,,Male Female Unisex,Sterling Silver,,Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 3.5mm - Diamond Cut,,,,,https://i.ebayimg.com/images/g/KJEAAOSw4HhmEfaL/s-l300.webp,"Nickel-Free, Reversible, Stackable, Diamond-Cut, Lobster Clasp",,Italy,,,,,,,,,"Beautiful 925 Sterling Silver Rope Chain 3.50mm


Available In 16'' 18'' 20'' 22'' 24'' 30''


This Is A Solid Genuine 925 Chain, Not Plated Or Filled


All Sizes In Stock


Chain Lock: Lobster Lock


Made In Italy


Chain Width 3.50mm


Estimated Weights:
16''    6.00 Grams
18''    6.50 Grams
20''    7.20 Grams
22''    7.90 Grams
24''    8.30 Grams
30''   10.20 Grams

Free Velvet Gift Pouch

Free Shipping Within 24 Hours Of Payment",,,Necklace,,,,,,Lobster,"Anniversary, Birthday, Christening, Christmas, Confirmation/Communion, Engagement, Father's Day, Graduation, Mother's Day, Valentine's Day",,No,,,,,,
